246,Turoyo,turoyo,touroyo,,50000,37.405,41.3745,3
247,Võro-Seto,vorû setu,võro-seto,,50000,57.8096,27.29,2
248,West Greenlandic,groenlandés occidental,kalaallisut,,50000,64.1681,-51.7236,1
249,Western Armenian (Turkey),armenio occidental (Turquía),arménien occidental (Turquie),արևմտահայ,50000,41.0213,28.9324,2
250,Zaramo,zalamo / saramo,zaramo,,50000,-6.922,39.2409,2
251,Zenatiya,zenatiya,zenatiya,,50000,35.5702,1.8099,4
252,Papantla Totonac,totonaco papantla,totonaque de Papantla,,49748,20.4477,-97.32,2
253,Wancho,wancho,wancho,,49000,26.9759,95.4656,1
254,Bhumji,bhumji,bhumji,,47000,21.8003,86.8139,1
255,Cosung (China),cosung (China),cosung (Chine),,47000,22.6833,102.6666,2
256,Cosung (Viet Nam),cosung (Vietnam),cosung (kucong),,47000,22.6166,102.75,2
257,Baheng (China),baheng (China),baheng (Chine),,45000,26.19,110.24,1
258,Lumun,lomón,lumun,,45000,10.8387,30.0338,2
259,Quichua (Loja),quichua (Loja),quichua (Loja),,45000,-3.6236,-79.2388,3
260,Chamling,chamlingo,chamling,,44093,27.0499,86.7329,2
261,Irish,irlandés,irlandais,,44000,53.7876,-9.1845,2
262,Reshe,reshe,reshe,,44000,10.8791,4.6115,1
263,Sierra Otomí,otomí de la Sierra,otomí de la Sierra,,43468,20.1021,-97.622,1
264,Phuthi,suací,phuthi,,43000,-29.3791,28.2838,2
265,Rarotongan,rarotongano,rarotongien,,43000,-21.2343,-159.7837,1
266,Khalaj,jalái,khalaj,,42100,34.3751,50.3063,1
267,Dungan,dungano,doungane,,41000,42.4518,78.4643,2
268,Kheza,khezha,kheza,,41000,25.6811,94.367,1
269,Jola-Kassa,kasa,jola-kassa,,40850,13.1089,-15.8999,1
270,Satār,satar,satār,,40260,26.5541,87.918,1
271,Guaraní Boliviano,guaraní boliviano,guarani de Bolivie,,40000,-20.1694,-63.8525,1
272,Gutob,gutob,goutob,,40000,18.7086,83.5839,1
273,Kheng,kheng,khengkha,,40000,27.0786,91.0272,1
274,Laro,laro,Laru,,40000,10.7685,29.902,2
275,Minyong,minyong,minyong,,40000,28.2632,95.0537,1
